1,2,3,4,,,,,,,,,,,
5.19,6358.8,1.843,2.161,-0.318,,,,,,,,,,
5.19,6356.783,0.289,0.717,-0.428,,,,,,,,,,
5.19,6354.797,5.238,5.611,-0.373,,,,,,,,,,
5.19,6352.79,3.757,4.12,-0.363,,,,,,,,,,
5.19,6350.792,2.329,2.744,-0.415,,,,,,,,,,
5.19,6348.804,0.984,1.349,-0.365,,,,,,,,,,
5.19,6346.789,5.73,6.174,-0.444,,,,,,,,,,
5.19,6344.783,4.251,4.704,-0.453,,,,,,,,,,
5.19,6342.795,2.904,3.26,-0.356,,,,,,,,,,
5.19,6340.793,1.46,1.89,-0.43,,,,,,,,,,
5.19,6338.79,6.281,0.372,-0.374185307,,,,,,,,,,
5.19,6336.792,4.866,5.242,-0.376,,,,,,,,,,
5.19,6334.778,3.331,3.752,-0.421,,,,,,,,,,
5.19,6332.764,1.799,2.217,-0.418,,,,,,,,,,
5.19,6330.78,0.481,0.852,-0.371,,,,,,,,,,
5.19,6328.779,5.323,5.771,-0.448,,,,,,,,,,
5.19,6326.787,3.943,4.265,-0.322,,,,,,,,,,
5.19,6324.794,2.561,2.935,-0.374,,,,,,,,,,
5.19,6322.784,1.053,1.502,-0.449,,,,,,,,,,
5.19,6320.794,5.978,0.079,-0.384185307,,,,,,,,,,
5.19,6318.792,4.529,4.984,-0.455,,,,,,,,,,
5.19,6316.775,2.978,3.42,-0.442,,,,,,,,,,
5.19,6314.792,1.657,2.026,-0.369,,,,,,,,,,
5.19,6312.786,0.184,0.538,-0.354,,,,,,,,,,
5.19,6310.768,4.911,5.355,-0.444,,,,,,,,,,
5.19,6308.772,3.507,3.864,-0.357,,,,,,,,,,
5.19,6306.775,2.09,2.449,-0.359,,,,,,,,,,
5.19,6304.772,0.638,1.054,-0.416,,,,,,,,,,
5.19,6302.774,5.502,5.871,-0.369,,,,,,,,,,
5.19,6300.773,4.063,4.351,-0.288,,,,,,,,,,
5.19,6298.774,2.635,3.047,-0.412,,,,,,,,,,
5.19,6296.784,1.272,1.634,-0.362,,,,,,,,,,
5.19,6294.764,5.977,0.14,-0.446185307,,,,,,,,,,
5.19,6292.778,4.646,5.107,-0.461,,,,,,,,,,
5.19,6290.79,3.293,3.631,-0.338,,,,,,,,,,
5.19,6288.775,1.756,2.193,-0.437,,,,,,,,,,
5.19,6286.778,0.344,0.745,-0.401,,,,,,,,,,
5.19,6284.786,5.245,5.593,-0.348,,,,,,,,,,
5.19,6282.778,3.761,4.135,-0.374,,,,,,,,,,
5.19,6280.778,2.325,2.719,-0.394,,,,,,,,,,
5.19,6278.785,0.943,1.277,-0.334,,,,,,,,,,
5.19,6276.782,5.766,6.17,-0.404,,,,,,,,,,
5.19,6274.779,4.314,4.742,-0.428,,,,,,,,,,
5.19,6272.767,2.798,3.241,-0.443,,,,,,,,,,
5.19,6270.767,1.365,1.791,-0.426,,,,,,,,,,
5.19,6268.765,6.199,0.318,-0.402185307,,,,,,,,,,
5.19,6266.78,4.873,5.283,-0.41,,,,,,,,,,
5.19,6264.774,3.4,3.826,-0.426,,,,,,,,,,
5.19,6262.778,1.988,2.385,-0.397,,,,,,,,,,
5.19,6260.792,0.657,0.994,-0.337,,,,,,,,,,
5.19,6258.775,5.386,5.814,-0.428,,,,,,,,,,
5.19,6256.775,3.95,4.24,-0.29,,,,,,,,,,
5.19,6254.794,2.649,2.983,-0.334,,,,,,,,,,
5.19,6252.792,1.208,1.618,-0.41,,,,,,,,,,
5.19,6250.796,6.082,0.152,-0.353185307,,,,,,,,,,
5.19,6248.787,4.584,5.134,-0.55,,,,,,,,,,
5.19,6246.796,3.213,3.61,-0.397,,,,,,,,,,
5.19,6244.794,1.766,2.146,-0.38,,,,,,,,,,
5.19,6242.774,0.194,0.649,-0.455,,,,,,,,,,
5.19,6240.78,5.084,5.484,-0.4,,,,,,,,,,
5.19,6238.785,3.686,3.962,-0.276,,,,,,,,,,
5.19,6236.774,2.177,2.612,-0.435,,,,,,,,,,
5.19,6234.78,0.785,1.181,-0.396,,,,,,,,,,
5.19,6232.789,5.694,6.022,-0.328,,,,,,,,,,
5.19,6230.771,4.14,4.608,-0.468,,,,,,,,,,
5.19,6228.777,2.744,3.14,-0.396,,,,,,,,,,
5.19,6226.79,1.4,1.73,-0.33,,,,,,,,,,
5.19,6224.777,6.161,0.298,-0.420185307,,,,,,,,,,
5.19,6222.796,4.862,5.275,-0.413,,,,,,,,,,
5.19,6220.808,3.512,3.843,-0.331,,,,,,,,,,
5.19,6218.794,1.977,2.41,-0.433,,,,,,,,,,
5.19,6216.816,0.7,1.065,-0.365,,,,,,,,,,
5.19,6214.807,5.486,5.94,-0.454,,,,,,,,,,
5.19,6212.811,4.079,4.483,-0.404,,,,,,,,,,
5.19,6210.825,2.745,3.11,-0.365,,,,,,,,,,
5.19,6208.81,1.202,1.56,-0.358,,,,,,,,,,
5.19,6206.796,5.956,0.119,-0.446185307,,,,,,,,,,
5.19,6204.812,4.641,5.111,-0.47,,,,,,,,,,
5.19,6202.823,3.277,3.618,-0.341,,,,,,,,,,
5.19,6200.804,1.713,2.119,-0.406,,,,,,,,,,
5.19,6198.807,0.301,0.685,-0.384,,,,,,,,,,
5.19,6196.815,5.205,5.532,-0.327,,,,,,,,,,
5.19,6194.801,3.672,4.023,-0.351,,,,,,,,,,
5.19,6192.799,2.226,2.602,-0.376,,,,,,,,,,
5.19,6190.788,0.718,1.169,-0.451,,,,,,,,,,
5.19,6188.799,5.643,6.044,-0.401,,,,,,,,,,
5.19,6186.795,4.18,4.568,-0.388,,,,,,,,,,
5.19,6184.786,2.683,3.138,-0.455,,,,,,,,,,
5.19,6182.802,1.365,1.763,-0.398,,,,,,,,,,
5.19,6180.796,6.172,0.256,-0.367185307,,,,,,,,,,
5.19,6178.788,4.68,5.196,-0.516,,,,,,,,,,
5.19,6176.798,3.319,3.68,-0.361,,,,,,,,,,
5.19,6174.8,1.891,2.233,-0.342,,,,,,,,,,
5.19,6172.794,0.421,0.849,-0.428,,,,,,,,,,
5.19,6170.798,5.298,5.667,-0.369,,,,,,,,,,
